Colorado Plains Regional Airport,US,Akron,AKO
Akron Executive Airport,US,Akron,AKC
RAF Akrotiri,GB,Akrotiri,AKT
Aksu Onsu Airport,CN,Aksu (Onsu),AKU
Aktau Airport,KZ,Aktau,SCO
Aktobe Airport,KZ,Aktobe,AKX
Akulivik Airport,CA,Akulivik,AKV
Akure Airport,NG,Akure,AKR
Akureyri Airport,IS,Akureyri,AEY
Akutan Airport,US,Akutan,KQA
Al Ain International Airport,AE,Al Ain,AAN
Al Abraq International Airport,LY,Al Bayda',LAQ
Al Taqaddum Air Base,IQ,Al Habbaniyah,TQD
Cherif Al Idrissi Airport,MA,Al Hoceima,AHU
Mussanah Airport,OM,Al Masna'ah,MNH
Azaza Airport,SD,Al Qadarif,GSU
Al Thaurah Airport,SY,Al Thaurah,SOR
Majeed Bin Abdulaziz Airport,SA,Al Ula,ULH
Al Wajh Domestic Airport,SA,Al Wajh,EJH
Al-Bayda Airport,YE,Al-Bayda,BYD
Al-Bough Airport,YE,Al-Bough,BUK
Al-Jawf Domestic Airport,SA,Al-Jawf,AJF
El Obeid Airport,SD,Al-Ubayyid,EBD
La Gomera Airport,ES,Alajero - La Gomera Island,GMZ
Alakanuk Airport,US,Alakanuk,AUK
Alameda Naval Air Station,US,Alameda,NGZ
Holloman Air Force Base,US,Alamogordo,HMN
Alamogordo White Sands Regional Airport,US,Alamogordo,ALM
Álamos Airport,MX,Álamos,XAL
San Luis Valley Regional Airport/Bergman Field,US,Alamosa,ALS
Vitoria/Foronda Airport,ES,Alava,VIT
Albacete Airport / Los Llanos Air Base,ES,Albacete,ABC
Albany Airport,AU,Albany,ALH
Albany International Airport,US,Albany,ALB
Southwest Georgia Regional Airport,US,Albany,ABY
Villanova D'Albenga International Airport,IT,Albenga (SV),ALL
Albert Lea Municipal Airport,US,Albert Lea,AEL
Albert-Bray Airport,FR,Albert/Bray,BYF
Albi-Le Séquestre Airport,FR,Albi/Le Séquestre,LBI
Fort MacKay/Albian Aerodrome,CA,Albian Village,JHL
Albina Airport,SR,Albina,ABN
Marcos A. Gelabert International Airport,PA,Albrook,PAC
Albuquerque International Sunport,US,Albuquerque,ABQ
Albury Airport,AU,Albury,ABX
Aldan Airport,RU,Aldan,ADH
Alegrete Novo Airport,BR,Alegrete,ALQ
Aleknagik / New Airport,US,Aleknagik,WKK
Alenquer Airport,BR,Alenquer,ALT
Aleppo International Airport,SY,Aleppo,ALP
Alert Airport,CA,Alert,YLT
Alert Bay Airport,CA,Alert Bay,YAL
Ålesund Airport,NO,Ålesund,AES
Alexander Bay Airport,ZA,Alexander Bay,ALJ
Thomas C Russell Field,US,Alexander City,ALX
Alexandra Airport,NZ,Alexandra,ALR
Borg El Arab International Airport,EG,Alexandria,HBE
Esler Regional Airport,US,Alexandria,ESF
Chandler Field,US,Alexandria,AXN
El Nuzha Airport,EG,Alexandria,ALY
Alexandria International Airport,US,Alexandria,AEX
Maxson Airfield,US,Alexandria Bay,AXB
Alexandroupoli Democritus Airport,GR,Alexandroupolis,AXD
Algeciras Heliport,ES,Algeciras,AEI
Alghero-Fertilia Airport,IT,Alghero,AHO
Houari Boumediene Airport,DZ,Algiers,ALG
Algona Municipal Airport,US,Algona,AXG
Ali-Sabieh Airport,DJ,Ali-Sabieh,AII
Alicante International Airport,ES,Alicante,ALC
Alice International Airport,US,Alice,ALI
Alice Springs Airport,AU,Alice Springs,ASP
George Downer Airport,US,Aliceville,AIV
Allahabad Airport,IN,Allahabad,IXD
Allakaket Airport,US,Allakaket,AET
Alldays Airport,ZA,Alldays,ADY
Lehigh Valley International Airport,US,Allentown,ABE
Alliance Municipal Airport,US,Alliance,AIA
Alligandi Airport,PA,Alligandi,AIL
Alma Airport,CA,Alma,YTF
Gratiot Community Airport,US,Alma,AMN
Almaty Airport,KZ,Almaty,ALA
Monte Dourado Airport,BR,Almeirim,MEU
Almeirim Airport,BR,Almeirim,GGF
Cirilo Queiróz Airport,BR,Almenara,AMJ
Almería International Airport,ES,Almería,LEI
Niue International Airport,NU,Alofi,IUE
Mali Airport,ID,Alor Island,ARD
Sultan Abdul Halim Airport,MY,Alor Satar,AOR
Alpena County Regional Airport,US,Alpena,APN
Alpha Airport,AU,Alpha,ABH
Alpine Casparis Municipal Airport,US,Alpine,ALE
Lake Nash Airport,AU,Alpurrurulam,LNH
Alroy Downs Airport,AU,Alroy Downs,AYD
Sandnessjøen Airport (Stokka),NO,Alstahaug,SSJ
Alta Airport,NO,Alta,ALF
Piloto Osvaldo Marques Dias Airport,BR,Alta Floresta,AFL
Altai Airport,MN,Altai,LTI
Altamira Airport,BR,Altamira,ATM
Altay Airport,CN,Altay,AAT
Altenburg-Nobitz Airport,DE,Altenburg,AOC
St Gallen Altenrhein Airport,CH,Altenrhein,ACH
Zafer Airport,TR,Altıntaş,KZR
Suia-Missu Airport,BR,Alto Boa Vista,SWM
Alto Molocue Airport,MZ,Alto Molocue,AME
Alto Palena Airport,CL,Alto Palena,WAP
Alto Parnaíba Airport,BR,Alto Parnaíba,APY
D. Casimiro Szlapelis Airport,AR,Alto Rio Senguerr,ARR
St Louis Regional Airport,US,Alton/St Louis,ALN
Altoona Blair County Airport,US,Altoona,AOO
Altus Air Force Base,US,Altus,LTS
Altus Quartz Mountain Regional Airport,US,Altus,AXS
Alula Airport,SO,Alula,ALU
Am Timan Airport,TD,Am Timan,AMC
Tokunoshima Airport,JP,Amagi,TKN
Amahai Airport,ID,Amahai-Seram Island,AHI
Amakusa Airport,JP,Amakusa,AXJ
Amalfi Airport,CO,Amalfi,AFI
Amami Airport,JP,Amami,ASJ
Amanab Airport,PG,Amanab,AMU
Lathrop Wells Airport / Jackass Aeropark,US,Amargosa Valley,LTH
Tradewind Airport,US,Amarillo,TDW
Rick Husband Amarillo International Airport,US,Amarillo,AMA
Amasya Merzifon Airport,TR,Amasya,MZH
Chachoán Airport,EC,Ambato,ATF
Ambatolhy Airport,MG,Ambatolahy,AHY
Ambatondrazaka Airport,MG,Ambatondrazaka,WAM
Ambler Airport,US,Ambler,ABL
Karawari Airstrip,PG,Amboin,KRJ
Amboin Airstrip,PG,Amboin,AMG
Pattimura Airport - Ambon,ID,Ambon,AMQ
Amboseli Airport,KE,Amboseli National Park,ASV
Ambriz Airport,AO,Ambriz,AZZ
Uléi Airport,VU,Ambrym Island,ULB
Ambunti Airport,PG,Ambunti,AUJ
Amchitka Air Force Base,US,Amchitka Island,AHT
Amderma Airport,RU,Amderma,AMV
American River Airport,AU,American River,RCN
Amery Municipal Airport,US,Amery,AHH
Ames Municipal Airport,US,Ames,AMW
Yuruf Airport,ID,Amgotro,RUF
Amgu Airport,RU,Amgu,AEM
Zahn's Airport,US,Amityville,AYZ
Queen Alia International Airport,JO,Amman,AMM
Amman-Marka International Airport,JO,Amman,ADJ
Bishe Kola Air Base,IR,Amol,BSM
Amook Bay Seaplane Base,US,Amook Bay,AOS
Amos/Magny Airport,CA,Amos,YEY
Ampanihy Airport,MG,Ampanihy,AMP
Kondavattavana Tank Seaplane Base,LK,Ampara,AFK
Ampara Airport,LK,Ampara,ADP
Sri Guru Ram Dass Jee International Airport,IN,Amritsar,ATQ
Amsterdam Airport Schiphol,NL,Amsterdam,AMS
Anaco Airport,VE,Anaco,AAO
Anacortes Airport,US,Anacortes,OTS
Ugolny Yuri Ryktheu Airport,RU,Anadyr,DYR
Anahim Lake Airport,CA,Anahim Lake,YAA
Anaktuvuk Pass Airport,US,Anaktuvuk Pass,AKP
Analalava Airport,MG,Analalava,HVA
Anapa Vityazevo Airport,RU,Anapa,AAQ
Anápolis Airport,BR,Anápolis,APS
Aneityum Airport,VU,Anatom Island,AUY
Merrill Field,US,Anchorage,MRI
Elmendorf Air Force Base,US,Anchorage,EDF
Ted Stevens Anchorage International Airport,US,Anchorage,ANC
Marche Airport,IT,Ancona,AOI
Pupelde Airport,CL,Ancud,ZUD
Andahuaylas Airport,PE,Andahuaylas,ANS
Andavadoaka Airport,MG,Andavadoaka,DVD
Andakombe Airport,PG,Andekombe,ADC
Andøya Airport,NO,Andenes,ANX
Anderson Regional Airport,US,Anderson,AND
Anderson Municipal Darlington Field,US,Anderson,AID
Andes Airport,CO,Andes,ADN
Andizhan Airport,UZ,Andizhan,AZN
Alferez FAP Alfredo Vladimir Sara Bauer Airport,PE,Andoas,AOP
Andravida Air Base,GR,Andravida,PYR
Robert F Swinnie Airport,US,Andrews,ADR
Andriamena Airport,MG,Andriamena,WAD
Congo Town Airport,BS,Andros,TZN
San Andros Airport,BS,Andros Island,SAQ
Andulo Airport,AO,Andulo,ANL
Captain Auguste George Airport,VG,Anegada,NGD
Mata'aho Airport,TO,Angaha - Niuafo'ou Island,NFO
Angel Fire Airport,US,Angel Fire,AXX
Ängelholm-Helsingborg Airport,SE,Ängelholm,AGH
Anglesey Airport,GB,Angelsey,VLY
Angers-Loire Airport,FR,Angers/Marcé,ANE
Anggi Airport,ID,Anggi-Papua Island,AGD
Texas Gulf Coast Regional Airport,US,Angleton,LJN
Wapekeka Airport,CA,Angling Lake,YAX
Angoche Airport,MZ,Angoche,ANO
Tri State Steuben County Airport,US,Angola,ANQ
Angoon Seaplane Base,US,Angoon,AGN
Angoram Airport,PG,Angoram,AGG
Angoulême-Brie-Champniers Airport,FR,Angoulême/Brie/Champniers,ANG
Anguganak Airport,PG,Anguganak,AKG
Angus Downs Airport,AU,Angus Downs Station,ANZ
Anuha Island Resort Airport,SB,Anhua Island,ANH
Aniak Airport,US,Aniak,ANI
Aniwa Airport,VU,Aniwa,AWD
Truscott-Mungalalu Airport,AU,Anjo Peninsula,TTX
Ankang Fuqiang Airport,CN,Ankang,AKA
Esenboğa International Airport,TR,Ankara,ESB
Etimesgut Air Base,TR,Ankara,ANK
Ankavandra Airport,MG,Ankavandra,JVA
Ankazoabo Airport,MG,Ankazoabo,WAK
Tsimiroro Airport,MG,Ankisatra,TZO
Ann Arbor Municipal Airport,US,Ann Arbor,ARB
Rabah Bitat Airport,DZ,Annaba,AAE
Annai Airport,GY,Annai,NAI
Lee Airport,US,Annapolis,ANP
Annecy-Haute-Savoie-Mont Blanc Airport,FR,Annecy/Meythet,NCY
Annemasse Airport,FR,Annemasse,QNJ
Anniston Regional Airport,US,Anniston,ANB
Anqing Tianzhushan Airport,CN,Anqing,AQG
Comandante FAP German Arias Graziani Airport,PE,Anta,ATA
Hatay Airport,TR,Antakya,HTY
Antalya International Airport,TR,Antalya,AYT
Ivato Airport,MG,Antananarivo,TNR
Anthony Municipal Airport,US,Anthony,ANY
Arrachart Airport,MG,Antisiranana,DIE
Antlers Municipal Airport,US,Antlers,ATE
Andrés Sabella Gálvez International Airport,CL,Antofagasta,ANF
Antsalova Airport,MG,Antsalova,WAQ
Antsirabe Airport,MG,Antsirabe,ATJ
Antsirabe Airport,MG,Antsirabe,ANM
Ambalabe Airport,MG,Antsohihy,WAI
Antwerp International Airport (Deurne),BE,Antwerp,ANR
Bellona/Anua Airport,SB,Anua,BNY
Anuradhapura Air Force Base,LK,Anuradhapura,ACJ
Anvik Airport,US,Anvik,ANV
Anyang Airport,CN,Anyang,AYN
Aomori Airport,JP,Aomori,AOJ
Aosta Airport,IT,Aosta,AOT
Apalachicola Regional Airport,US,Apalachicola,AAF
Apalapsili Airport,ID,Apalapsili,AAS
Pevek Airport,RU,Apapelgino,PWE
Apataki Airport,PF,Apataki,APK
Kirovsk-Apatity Airport,RU,Apatity,KVK
Pablo L. Sidar Airport,MX,Apatzingán,AZG
Fagali'i Airport,WS,Apia,FGI
Faleolo International Airport,WS,Apia,APW
Gomez Nino Apiay Air Base,CO,Apiay,API
Apolo Airport,BO,Apolo,APB
Apple Valley Airport,US,Apple Valley,APV
Appleton International Airport,US,Appleton,ATW
April River Airport,PG,April River,APR
Captain João Busse Airport,BR,Apucarana,APU
Aqaba King Hussein International Airport,JO,Aqaba,AQJ
Al Udeid Air Base,QA,Ar Rayyan,XJD
Arak Airport,IR,Araak,AJK
Santa Maria Airport,BR,Aracaju,AJU
(Duplicate)Aracati Airport,BR,Aracati,ARX
Aracati Airport,BR,Aracati,ARX
Araçatuba Airport,BR,Araçatuba,ARU
Arad International Airport,RO,Arad,ARW
Aragarças Airport,BR,Aragarças,ARS
Araguaína Airport,BR,Araguaína,AUX
Arandis Airport,NA,Arandis,ADI
Arapahoe Municipal Airport,US,Arapahoe,AHF
Arapiraca Airport,BR,Arapiraca,APQ
Arapongas Airport,BR,Arapongas,APX
Avelino Vieira Airport,BR,Arapoti,AAG
Arar Domestic Airport,SA,Arar,RAE
Araracuara Airport,CO,Araracuara,ACR
Araraquara Airport,BR,Araraquara,AQA
Ararat Airport,AU,Ararat,ARY
Arathusa Safari Lodge Airport,ZA,Arathusa,ASS
Santiago Perez Airport,CO,Arauca,AUC
El Troncal Airport,CO,Arauquita,ARQ
Arawa Airport,PG,Arawa,RAW
Romeu Zema Airport,BR,Araxá,AAX
Tortolì Airport,IT,Arbatax,TTB
Erbil International Airport,IQ,Arbil,EBL
Arboletes Airport,CO,Arboletes,ARO
California Redwood Coast-Humboldt County International Airport,US,Arcata/Eureka,ACV
Talagi Airport,RU,Archangelsk,ARH
Arctic Bay Airport,CA,Arctic Bay,YAB
Arctic Village Airport,US,Arctic Village,ARC
Ardabil Airport,IR,Ardabil,ADU
Ardmore Downtown Executive Airport,US,Ardmore,AHD
Ardmore Municipal Airport,US,Ardmore,ADM
Antonio Nery Juarbe Pol Airport,PR,Arecibo,ARE
Rodríguez Ballón International Airport,PE,Arequipa,AQP
Argyle Downs Airport,AU,Argyle Downs,AGY
Aribinda Airport,BF,Aribinda,XAR
Chacalluta Airport,CL,Arica,ARI
Arica Airport,CO,Arica,ACM
Aripuanã Airport,BR,Aripuanã,AIR
Ariquemes Airport,BR,Ariquemes,AQM
Arkalyk North Airport,KZ,Arkalyk,AYK
Arlington Municipal Airport,US,Arlington,LHC
Arlit Airport,NE,Arlit,RLT
Arly Airport,BF,Arly,ARL
Puerto Nare Airport,CO,Armenia,NAR
El Eden Airport,CO,Armenia,AXM
Armidale Airport,AU,Armidale,ARM
Armstrong Airport,CA,Armstrong,YYW
İstanbul Airport,TR,Arnavutköy - Istanbul,IST
Tinak Airport,MH,Arno Atoll,TIC
Ine Airport,MH,Arno Atoll,IMI
Molde Airport,NO,Årø,MOL
Ulawa Airport,SB,Arona,RNA
Arorae Island Airport,KI,Arorae Island,AIS
Unguia Airport,CO,Arquia,UNC
Arraias Airport,BR,Arraias,AAI
Arso Airport,ID,Arso-Papua Island,ARJ
Artesia Municipal Airport,US,Artesia,ATS
Arthur's Town Airport,BS,Arthur's Town,ATC
Artigas International Airport,UY,Artigas,ATI
Vladivostok International Airport,RU,Artyom,VVO
Arua Airport,UG,Arua,RUA
Unifly Heliport,BR,Arujá,ZFU
Kilimanjaro International Airport,TZ,Arusha,JRO
Arusha Airport,TZ,Arusha,ARK
Arvaikheer Airport,MN,Arvaikheer,AVK
Arviat Airport,CA,Arviat,YEK
Arvidsjaur Airport,SE,Arvidsjaur,AJR
Arxan Yi'ershi Airport,CN,Arxan,YIE
Assab International Airport,ER,Asab,ASA
Asaba International Airport,NG,Asaba,ABB
Asahikawa Airport,JP,Asahikawa,AKJ
Persian Gulf International Airport,IR,Asalouyeh,PGU
Asaloyeh Airport,IR,Asaloyeh,YEH
Asau Airport,WS,Asau,AAU
Asbury Park Neptune Air Terminal,US,Asbury Park,ARX
Ascención De Guarayos Airport,BO,Ascensión de Guarayos,ASC
Ascona Airport,CH,Ascona,ACO
Aseki Airport,PG,Aseki,AEK
Sharp County Regional Airport,US,Ash Flat,CKK
Asheville Regional Airport,US,Asheville,AVL
Lympne Airport,GB,Ashford,LYM
Ashgabat International Airport,TM,Ashgabat,ASB
John F Kennedy Memorial Airport,US,Ashland,ASX
Ashland Municipal Sumner Parker Field,US,Ashland,AHM
Ashley Municipal Airport,US,Ashley,ASY
Northeast Ohio Regional Airport,US,Ashtabula,JFN
Asmara International Airport,ER,Asmara,ASM
Ewer Airport,ID,Asmat,EWE
Asosa Airport,ET,Asosa,ASO
Aspen-Pitkin Co/Sardy Field,US,Aspen,ASE
Marcelo Pires Halzhausen Airport,BR,Assis,AIF
Astoria Regional Airport,US,Astoria,AST
Astrakhan Airport,RU,Astrakhan,ASF
Gunung Batin Airport,ID,Astraksetra-Sumatra Island,AKQ
Astypalaia Airport,GR,Astypalaia Island,JTY
Silvio Pettirossi International Airport,PY,Asunción,ASU
Aswan International Airport,EG,Aswan,ASW
Asyut International Airport,EG,Asyut,ATZ
Teniente General Gerardo Pérez Pinedo Airport,PE,Atalaya,AYX
Haliwen Airport,ID,Atambua-Timor Island,ABU
Atar International Airport,MR,Atar,ATR
Atauro Airport,TL,Atauro,AUT
Atbara Airport,SD,Atbara,ATB
Atbasar Airport,KZ,Atbasar,ATX
McMinn County Airport,US,Athens,MMI
Athen Helenikon Airport,GR,Athens,HEW
Eleftherios Venizelos International Airport,GR,Athens,ATH
Athens Ben Epps Airport,US,Athens,AHN
Ohio University Snyder Field,US,Athens/Albany,ATO
Ati Airport,TD,Ati,ATV
Atikokan Municipal Airport,CA,Atikokan,YIB
Teminabuan Airport,ID,Atinjoe-Papua Island,TXM
Enua Airport,CK,Atiu Island,AIU
Atka Airport,US,Atka,AKB
Atkamba Airport,PG,Atkamba Mission,ABP
DeKalb Peachtree Airport,US,Atlanta,PDK
Fulton County Airport Brown Field,US,Atlanta,FTY
Hartsfield Jackson Atlanta International Airport,US,Atlanta,ATL
Atlantic Municipal Airport,US,Atlantic,AIO
Atlantic City Municipal Bader Field,US,Atlantic City,AIY
Atlantic City International Airport,US,Atlantic City,ACY
Atmautluak Airport,US,Atmautluak,ATT
Uru Harbour Airport,SB,Atoifi,ATD
Atqasuk Edward Burnell Sr Memorial Airport,US,Atqasuk,ATK
Attawapiskat Airport,CA,Attawapiskat,YAT
Attopeu Airport,LA,Attopeu,AOU
Attu Heliport,GL,Attu,QGQ
Casco Cove Coast Guard Station,US,Attu,ATU
Atyrau Airport,KZ,Atyrau,GUW
Garasa Airport,PG,Au,GRL
Aua Island Airport,PG,Aua Island,AUI
Aubenas-Ardèche Méridional Airport,FR,Aubenas/Ardèche Méridional,OBS
Auburn University Regional Airport,US,Auburn,AUO
Auburn Municipal Airport,US,Auburn,AUN
Auburn Lewiston Municipal Airport,US,Auburn/Lewiston,LEW
Auckland International Airport,NZ,Auckland,AKL
Mechanics Bay Heliport,NZ,Auckland City,MHB
Augsburg Airport,DE,Augsburg,AGB
Daniel Field,US,Augusta,DNL
Augusta State Airport,US,Augusta,AUG
Augusta Regional At Bush Field,US,Augusta,AGS
Gwaunaru'u Airport,SB,Auki,AKS
Aumo Airport,PG,Aumo,AUV
Aupaluk Airport,CA,Aupaluk,YPJ
Aur Island Airport,MH,Aur Atoll,AUL
Aurangabad Airport,IN,Aurangabad,IXU
Aurillac Airport,FR,Aurillac,AUR
Ladouanie Airport,SR,Aurora,LDO
Buckley Air Force Base,US,Aurora,BFK
Aurukun Airport,AU,Aurukun,AUU
Austin Bergstrom International Airport,US,Austin,AUS
Austin Municipal Airport,US,Austin,AUM
Austin Airport,US,Austin,ASQ
Auxerre-Branches Airport,FR,Auxerre/Branches,AUF
Catalina Airport,US,Avalon,AVX
Rarotonga International Airport,CK,Avarua,RAR
Aviano Air Base,IT,Aviano (PN),AVB
Avignon-Caumont Airport,FR,Avignon/Caumont,AVN
Avon Park Executive Airport,US,Avon Park,AVO
Awaba Airport,PG,Awaba,AWB
Awar Airport,PG,Awar,AWR
Cayana Airstrip,SR,Awaradam,AAJ
Awasa Airport,ET,Awasa,AWA
Coronel FAP Alfredo Mendivil Duarte Airport,PE,Ayacucho,AYP
Ayacucho Airport,CO,Ayacucho,AYC
Ayapel Airport,CO,Ayapel,AYA
JMSDF Atsugi Air Base / Naval Air Facility Atsugi,JP,Ayase / Yamato,NJA
Ayawasi Airport,ID,Ayawasi-Papua Island,AYW
Çıldır Airport,TR,Aydın,CII
Ayers Rock Connellan Airport,AU,Ayers Rock,AYQ
Juan De Ayolas Airport,PY,Ayolas,AYO
Ayr Airport,AU,Ayr,AYR
David Constantijn Saudale Airport,ID,Ba'a - Rote Island,RTI
Dharavandhoo Airport,MV,Baa Atoll,DRV
Malekolon Airport,PG,Babase Island,MKN
Babelthuap Airport,PW,Babelthuap Island,ROR
Zielona Góra-Babimost Airport,PL,Babimost,IEG
Babo Airport,ID,Babo-Papua Island,BXB
Bacău Airport,RO,Bacău,BCM
Baco Airport,ET,Baco,BCO
Bacolod-Silay Airport,PH,Bacolod City,BCD
Badajoz Airport,ES,Badajoz,BJZ
Alxa Right Banner Badanjilin Airport,CN,Badanjilin,RHT
Bade Airport,ID,Bade,BXD
Karlsruhe Baden-Baden Airport,DE,Baden-Baden,FKB
Talhar Airport,PK,Badin,BDN
Bafoussam Airport,CM,Bafoussam,BFX
Baganga airport,PH,Baganga,BNQ
Bagani Airport,NA,Bagani,BQI
Bagdad Airport,US,Bagdad,BGT
Comandante Gustavo Kraemer Airport,BR,Bagé,BGX
Baghdad International Airport / New Al Muthana Air Base,IQ,Baghdad,BGW
Baglung Airport,NP,Baglung,BGL
CFB Bagotville,CA,Bagotville,YBG
Bagram Airfield,AF,Bagram,OAI
Loakan Airport,PH,Baguio City,BAG
Bahawalnagar Airport,PK,Bahawalnagar,WGB
Bahawalpur Airport,PK,Bahawalpur,BHV
Comandante Espora Airport,AR,Bahia Blanca,BHI
Bahia Cupica Airport,CO,Bahía Cupica,BHF
Los Perales Airport,EC,Bahía de Caraquez,BHA
Pampa Guanaco Airport,CL,Bahia Inutil,DPB
Bahía Negra Airport,PY,Bahía Negra,BFA
Bahia Piña Airport,PA,Bahia Piña,BFQ
José Celestino Mutis Airport,CO,Bahía Solano,BSC
Bahir Dar Airport,ET,Bahir Dar,BJR
Bahja Airport,OM,Bahja,BJQ
Maramureș International Airport,RO,Baia Mare,BAY
Baicheng Chang'an Airport,CN,Baicheng,DBC
Baidoa Airport,SO,Baidoa,BIB
Baie-Comeau Airport,CA,Baie-Comeau,YBC
Baie-Johan-Beetz Water Aerodrome,CA,Baie-Johan-Beetz,YBJ
Krainiy Airport,KZ,Baikonur,BXY
